Gene name	Module
AT1G07650	Green
AT1G07660	Blue
AT1G07670	Yellow
AT1G07680	Pink
AT1G07690	Pink
AT1G07700	Turquoise
AT1G07702	Yellow
AT1G07705	Yellow
AT1G07710	Tan
AT1G07720	Turquoise
AT1G07725	Lightgreen
AT1G07728	Lightgreen
AT1G07730	Brown
AT1G07740	Yellow
AT1G07745	Grey
AT1G07747	Tan
AT1G07750	Tan
AT1G07770	Greenyellow
AT1G07780	Yellow
AT1G07790	Blue
AT1G07795	Black
AT1G07810	Grey
AT1G07820	Blue
AT1G07830	Yellow
AT1G07840	Yellow
AT1G07850	Lightcyan
AT1G07860	Lightyellow
AT1G07870	Red
AT1G07880	Blue
AT1G07885	Grey
AT1G07890	Greenyellow
AT1G07900	Red
AT1G07901	Grey
AT1G07910	Grey
AT1G07920	Yellow
AT1G07930	Greenyellow
AT1G07940	Yellow
AT1G07950	Greenyellow
AT1G07960	Grey
AT1G07970	Yellow
AT1G07980	Tan
AT1G07985	Darkred
AT1G07990	Green
AT1G08000	Yellow
AT1G08005	Purple
AT1G08010	Blue
AT1G08030	Magenta
AT1G08035	Grey
AT1G08040	Black
AT1G08050	Green
AT1G08060	Cyan
AT1G08065	Black
AT1G08070	Royalblue
AT1G08080	Grey
AT1G08090	Brown
AT1G08100	Brown
AT1G08110	Turquoise
AT1G08115	Grey
AT1G08120	Yellow
AT1G08125	Yellow
AT1G08130	Yellow
AT1G08135	Magenta
AT1G08140	Magenta
AT1G08150	Magenta
AT1G08160	Blue
AT1G08165	Grey
AT1G08170	Magenta
AT1G08180	Grey
AT1G08190	Grey
AT1G08200	Greenyellow
AT1G08210	Grey
AT1G08220	Yellow
AT1G08230	Red
AT1G08250	Grey
AT1G08260	Blue
AT1G08270	Black
AT1G08280	Blue
AT1G08290	Red
AT1G08300	Grey
AT1G08310	Green
AT1G08315	Red
AT1G08320	Brown
AT1G08340	Pink
AT1G08350	Blue
AT1G08360	Greenyellow
AT1G08370	Grey
AT1G08380	Turquoise
AT1G08390	Blue
AT1G08400	Yellow
AT1G08410	Yellow
AT1G08420	Green
AT1G08430	Brown
AT1G08440	Grey
AT1G08450	Green
AT1G08460	Red
AT1G08465	Turquoise
AT1G08470	Blue
AT1G08480	Greenyellow
AT1G08490	Turquoise
AT1G08500	Brown
AT1G08510	Turquoise
AT1G08520	Turquoise
AT1G08530	Purple
AT1G08540	Purple
AT1G08550	Turquoise
AT1G08560	Blue
AT1G08570	Turquoise
AT1G08580	Yellow
AT1G08590	Brown
AT1G08592	Brown
AT1G08600	Cyan
AT1G08610	Royalblue
AT1G08620	Grey
AT1G08630	Pink
AT1G08640	Purple
AT1G08650	Green
AT1G08660	Blue
AT1G08670	Brown
AT1G08680	Grey
AT1G08695	Lightcyan
AT1G08700	Salmon
AT1G08710	Red
AT1G08720	Red
AT1G08730	Lightcyan
AT1G08735	Grey
AT1G08750	Blue
AT1G08760	Tan
AT1G08770	Grey
AT1G08780	Greenyellow
